sample_id,condition,composition,spirulina_percent,nacl_percent,group,sample,sample_type,region_number,grid_row,grid_col,measurement_type,band,range_cm-1,range_start_cm-1,range_end_cm-1,value,source_column
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,integral,Band1,4010-4192,4010,4192,0.0416831,I_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,integral,Band2,4192-4488,4192,4488,0.208119,I_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,integral,Band3,4488-4759,4488,4759,0.117199,I_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,integral,Band4,4759-4956,4759,4956,0.0588992,I_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,integral,Band5,4956-5414,4956,5414,0.567232,I_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,integral,Band6,5414-6065,5414,6065,0.222977,I_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,integral,Band7,6065-7568,6065,7568,0.784265,I_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,integral,Band8,7568-8980,7568,8980,0.0899113,I_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,peak_depth,Band1,4010-4192,4010,4192,0.000602268,P_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,peak_depth,Band2,4192-4488,4192,4488,0.00139618,P_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,peak_depth,Band3,4488-4759,4488,4759,0.000998908,P_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,peak_depth,Band4,4759-4956,4759,4956,0.000686541,P_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,peak_depth,Band5,4956-5414,4956,5414,0.00305298,P_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,average,average,,,,peak_depth,Band6,5414-6065,5414,6065,0.000761155,P_Band6_5414-6065
